               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.075613,             0.04681,            0.027789,              0.6114,             0.23357,             0.16029,            0.063088,            0.054952,            0.036336,            0.016209,            0.070091,           0.0033232,           0.0033232
                   1,            0.057949,            0.039014,            0.014567,             0.56645,              0.3042,             0.23817,            0.098025,             0.05144,            0.034212,            0.011838,            0.040025,           0.0065906,           0.0065906
                   2,             0.05061,            0.037832,            0.011414,             0.57431,             0.35262,             0.33813,             0.15273,             0.04453,            0.034222,           0.0092939,           0.0098934,           0.0097921,           0.0097921
                   3,            0.045609,            0.037372,           0.0089288,             0.67776,             0.42476,             0.41824,             0.18988,            0.041449,            0.033376,           0.0073071,            0.009703,            0.009703,            0.009703
                   4,            0.042587,            0.036267,           0.0073765,             0.80696,             0.43192,             0.47941,              0.2252,            0.038867,            0.032463,            0.006073,            0.009703,            0.009703,            0.009703
