               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.025184,            0.017946,            0.003347,             0.76021,             0.62469,             0.75272,             0.50904,            0.030084,            0.013992,           0.0081881,            0.006535,            0.006535,            0.006535
                  37,            0.025071,             0.01813,           0.0029254,             0.67913,             0.67976,             0.73873,             0.48475,            0.029752,            0.014574,           0.0099356,            0.006436,            0.006436,            0.006436
                  38,            0.024901,            0.017772,            0.002959,             0.64629,             0.74035,             0.73924,             0.47909,            0.030072,            0.013855,           0.0093839,            0.006337,            0.006337,            0.006337
                  39,            0.024849,            0.018186,           0.0030988,             0.61853,             0.79042,             0.74789,             0.48387,            0.030478,            0.014377,            0.010151,            0.006238,            0.006238,            0.006238
                  40,            0.024929,            0.017773,           0.0032024,              0.7178,             0.69978,             0.73001,             0.48194,            0.029021,            0.014342,           0.0087402,            0.006139,            0.006139,            0.006139
                  41,            0.025013,             0.01807,           0.0029384,             0.76409,             0.66061,             0.73979,              0.4863,            0.029155,            0.014004,           0.0091633,             0.00604,             0.00604,             0.00604
                  42,            0.024454,             0.01759,             0.00276,             0.79108,              0.6256,             0.69278,             0.44495,            0.029707,             0.01424,            0.009408,            0.005941,            0.005941,            0.005941
                  43,            0.024468,            0.017846,           0.0027974,             0.85679,             0.61204,             0.75684,             0.52122,            0.029601,            0.014381,           0.0096798,            0.005842,            0.005842,            0.005842
                  44,            0.023703,            0.017549,           0.0026863,             0.67278,             0.70782,             0.74212,             0.49662,            0.030118,            0.014436,           0.0098451,            0.005743,            0.005743,            0.005743
                  45,            0.023588,            0.017726,           0.0025371,             0.74608,             0.71023,             0.76254,             0.51076,            0.028651,            0.013962,           0.0094205,            0.005644,            0.005644,            0.005644
                  46,              0.0238,            0.017512,           0.0026864,             0.68717,             0.77219,             0.74757,             0.53909,            0.029781,            0.014372,            0.010591,            0.005545,            0.005545,            0.005545
